R shoulder	-195.8373	420.3142	-236.6187	-183.3023	425.5374	52.03901	-190.4247	422.9671	-125.8402	12.53506	5.223175	288.6577
R Elbow	-573.1598	420.0577	-124.3794	-555.7279	425.9957	164.7653	-565.278	423.7018	-12.12096	17.43188	5.937958	289.1447
R Wrist	-941.418	456.1979	-456.6875	-919.5018	460.6177	-172.2167	-927.7565	457.8537	-342.8074	21.9162	4.419739	284.4709
L Hip	233.5592	-348.5337	-100.1444	242.7641	-333.3855	-75.30008	238.0105	-340.4055	-85.67252	9.204895	15.14825	24.84435
L Knee	227.7782	-808.8475	-420.3871	242.7477	-785.0653	-266.7795	235.4793	-799.1292	-330.1811	14.9695	23.78217	153.6075
L Ankle	168.1745	-1208.969	973.6377	223.2314	-754.7349	1659.571	195.1008	-1081.817	1306.353	55.05687	454.2346	685.9336
R Hip	-40.8357	-351.5963	75.89826	-34.03949	-338.3078	100.814	-37.13454	-344.2523	86.25687	6.796207	13.28854	24.91576
R Knee	-98.50557	-840.5387	-193.6451	-82.19806	-812.6323	-40.03996	-91.72894	-828.6866	-120.1547	16.30751	27.90637	153.6051
R Ankle	-69.31592	-1239.895	950.8646	-13.45254	-911.0223	1545.453	-53.4868	-1118.486	1227.726	55.86338	328.8723	594.5884
---------------------------------------------
L shoulder	231.1088	497.6393	-496.2324	247.3428	504.4424	-342.7365	241.2208	501.4293	-417.2224	16.23395	6.803131	153.4959
L Elbow	148.9902	538.2906	-1404.696	169.8418	560.0881	-1241.863	161.6579	545.9112	-1318.523	20.85159	21.79749	162.8325
L Wrist	-308.292	550.4385	-2158.335	-291.4948	559.7843	-1905.745	-300.1255	553.9131	-2027.819	16.79724	9.345825	252.5898
R shoulder	-202.8614	404.5652	131.5446	-182.6923	417.7368	305.1617	-193.044	409.8398	235.6924	20.1691	13.1716	173.6171
R Elbow	-580.5666	426.5086	192.8104	-553.679	438.1073	450.7013	-566.376	433.1169	338.6878	26.88763	11.59869	257.8909
R Wrist	-960.6831	481.8739	-254.018	-930.8506	489.2605	108.4685	-945.8206	484.7379	-27.44625	29.83246	7.386566	362.4865
L Hip	231.3667	-323.1935	-112.2611	238.509	-312.8242	-90.64744	234.8203	-316.6412	-100.3001	7.142258	10.36926	21.61371
L Knee	257.3336	-792.4798	-531.0938	276.8786	-771.2739	-339.1964	263.5089	-784.6345	-440.6837	19.54501	21.20587	191.8974
L Ankle	178.2588	-1103.349	1115.028	215.2634	-692.7661	1691.746	203.3555	-945.5349	1449.919	37.00459	410.5824	576.718
